Abstimmungen,,,e
id,author,content,followup
a,,Abstimmen: Android oder iOS?,
b,,Abstimmen: Burger King oder McDonald's?,
c,,Abstimmen: Eher Gandalf oder Dumbledore sein?,
d,,Abstimmen: Lieber in die Vergangenheit oder die Zukunft reisen?,
e,,Abstimmen: Eher lockige oder glatte Haare haben?,
f,,Abstimmen: Katze oder Hund?,
g,,Abstimmen: Eher fliegen oder unsichtbar werden können?,
h,,Abstimmen: Hamburger oder Döner?,
i,,Abstimmen: Lieber ein IQ von 300 oder unbegrenzt viel Geld haben?,
j,,Abstimmen: Lieber durch Gegenstände sehen können oder mit den Augen Laser schießen können?,
k,,Abstimmen: Lieber den Sommer oder den Winter abschaffen?,
l,,Abstimmen: Weihnachten oder Ostern abschaffen?,
